"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-SAOUHSC_00001",74.1159939858057,-0.286280188206675,0.355832212958764,-0.804397612986558,0.42116737931309,0.781896479464825
"gene-SAOUHSC_00002",78.9830474683046,0.0672701898331568,0.347013091395792,0.193864326507714,0.846282117050881,0.969807819925287
"gene-SAOUHSC_00003",25.3574091378342,0.0777711065791792,0.4105373498441,0.189603557539128,0.849619799269341,0.970926626165019
"gene-SAOUHSC_00004",675.389276078744,-0.0741187834063463,0.354789731227801,-0.208910727262759,0.834517929786568,0.965119250257014
"gene-SAOUHSC_00005",1032.47967906358,-0.0915040335870778,0.260146502151521,-0.351737620932642,0.725035043801757,0.932123178187634
"gene-SAOUHSC_00006",1327.84323533104,-0.173633219816342,0.292918044987307,-0.592737187302696,0.553357050146253,0.871558539166035
"gene-SAOUHSC_00007",23.3861539377615,1.00171851832427,0.316959607837895,3.15795998144554,0.00158877366497509,0.0544684571475628
"gene-SAOUHSC_00008",71.2195463198924,0.67266007426377,0.38341340400605,1.75580197823538,0.0791222265025527,0.412036506115825
"gene-SAOUHSC_00009",209.461349750826,-0.10589410971221,0.430949915067958,-0.24558037884145,0.806007079576477,0.959457884973363
"gene-SAOUHSC_00010",21.2238865301278,-1.76490466041328,0.458020118946967,-3.80076705766678,0.000144248859749843,0.0148359952252714
"gene-SAOUHSC_00012",23.2307438891146,-1.78688073365741,0.485929511268395,-3.63179782341988,0.000281453591595677,0.025171740778796
"gene-SAOUHSC_00013",32.3964400591711,-0.949107008103883,0.426510765771634,-2.22114589479224,0.0263410813983241,0.25585314284156
"gene-SAOUHSC_00014",47.4347407945454,-0.0581129754172859,0.252971552154711,-0.229776344031222,0.818265567658953,0.96242439083899
"gene-SAOUHSC_00015",270.538504904589,0.259876424783599,0.236693371275028,1.09789533905785,0.272250193467806,0.670051199402049
"gene-SAOUHSC_00017",59.7183705198928,0.812966628758407,0.329067221268173,2.47004291491152,0.0135096844059398,0.191699367684744
"gene-SAOUHSC_00018",409.827551765812,-0.327729403472183,0.230522156148902,-1.42148442832811,0.155175977326799,0.541011839595297
"gene-SAOUHSC_00019",44.0183833866142,-0.0239857672578975,0.49180288351088,-0.0486953598891623,0.96116207376283,0.99532679523297
"gene-SAOUHSC_00020",220.921488883661,-0.391191120599819,0.434986671182971,-0.89852178875004,0.368907434341202,0.744357360246725
"gene-SAOUHSC_00021",819.273443090057,0.119380386921849,0.343472848904203,0.347608809803994,0.728133989165475,0.933371976307677
"gene-SAOUHSC_00022",1390.58155328809,0.546808625553878,0.293794610752035,1.86171025384725,0.0626439424702167,0.38236970225886
"gene-SAOUHSC_00023",554.544791964655,-0.0858952987063201,0.289843676530345,-0.296355180657606,0.766958849376792,0.948097568009653
"gene-SAOUHSC_00024",13.671645322808,1.1828531870982,0.474585260045017,2.48699693656647,0.012882650834975,0.189282948339598
"gene-SAOUHSC_00025",12.6805011498908,0.851855745618192,0.401394493959267,2.11756769946278,0.0342116961432569,0.281853469696916
"gene-SAOUHSC_00026",2.89135189542117,-1.42304441594655,0.507347393202273,-2.96229110465333,0.00305358933632266,0.0860442912988452
"gene-SAOUHSC_00027",4.51213226413836,-1.25072152891222,0.517694882775483,-2.40728527346141,NA,NA
"gene-SAOUHSC_00030",4.16311899089416,0.268215316552872,0.517843660370103,0.526629697392228,0.5984507648759,0.888378364223801
"gene-SAOUHSC_00031",4.38884434247,0.338678280538436,0.489604535403372,0.725353050136669,0.468235468134086,0.811899764273507
"gene-SAOUHSC_00033",11.4955674017601,0.279758547376301,0.518251523182367,0.549024101880376,0.582988909665586,0.882628416465045
"gene-SAOUHSC_00034",5.40853566943376,0.191316588040872,0.484663930691236,0.406370126341233,0.684470666274697,0.916856123925867
"gene-SAOUHSC_00035",14.4782077153981,0.255017294870351,0.506634257420547,0.513679939246533,0.607475779683743,0.888787403866476
"gene-SAOUHSC_00036",119.706394591871,-0.0213940403915188,0.486795582105049,-0.0438962212669626,0.964987127391494,0.99532679523297
"gene-SAOUHSC_00037",99.151661698583,0.215703817412567,0.514738139651613,0.423797932763577,0.671713185874548,0.909620818527943
"gene-SAOUHSC_00039",17.1817839357192,0.445924362412028,0.434257511584353,1.03226325840931,0.301948808072462,0.698659952986563
"gene-SAOUHSC_00042",0.979144993136992,-0.0608082773153352,0.478486214263391,-0.122033797084339,0.902872252091727,NA
"gene-SAOUHSC_00043",1.26379002746122,0.657816833024348,0.459211934682441,1.57121178478183,0.116133463610491,NA
"gene-SAOUHSC_00044",1.14914312122916,0.550889981966874,0.42725579081398,1.53083064980651,0.12581125247433,NA
"gene-SAOUHSC_00047",11.3165454432566,0.444411526276239,0.513212744750652,0.878352114750644,0.379752662222896,0.754006975089284
"gene-SAOUHSC_00049",3.51240962438422,0.391036322492803,0.517001613848671,0.763504105929574,0.445162814574705,0.790892294877457
"gene-SAOUHSC_00051",1.03195720298473,0.0245165458517476,0.469472331581369,0.0565170836285646,0.954929886508856,NA
"gene-SAOUHSC_00055",3.05169400022713,0.506715062267988,0.510095297369509,1.0449636752455,0.296039758366054,0.695948408115468
"gene-SAOUHSC_00056",42.0513514666455,-0.196092437294185,0.350846984795431,-0.559694725828932,0.57568768043507,0.878124598367365
"gene-SAOUHSC_00057",25.0847245234582,-0.222615661680762,0.499447765202865,-0.444019037676272,0.657028819913016,0.901742866281567
"gene-SAOUHSC_00058",75.99450045335,0.199751045600092,0.463075403266573,0.431895855740946,0.665817106961513,0.906410184659055
